Municipality,Type,County,Population (2020),Year Incorporated
Portland,City,Cumberland (seat),"68,408",1786
Lewiston,City,Androscoggin,"37,121",1795
Bangor,City,Penobscot (seat),"31,753",1834
South Portland,City,Cumberland,"26,498",1895
Auburn,City,Androscoggin (seat),"24,061",1842
Biddeford,City,York,"22,552",1653
Scarborough,Town,Cumberland,"22,135",1658
Sanford,City,York,"21,982",1768
Brunswick,Town,Cumberland,"21,756",1739
Westbrook,City,Cumberland,"20,400",1814
Saco,City,York,"20,381",1775
Augusta,City (capital),Kennebec (seat),"18,899",1797
Windham,Town,Cumberland,"18,434",1762
Gorham,Town,Cumberland,"18,336",1764
Waterville,City,Kennebec,"15,828",1802
York,Town,York,"13,723",1652
Falmouth,Town,Cumberland,"12,444",1718
Kennebunk,Town,York,"11,536",1820
Wells,Town,York,"11,314",1653
Orono,Town,Penobscot,"11,183",1806
Standish,Town,Cumberland,"10,244",1785
Kittery,Town,York,"10,070",1647
Lisbon,Town,Androscoggin,"9,711",1799
Brewer,City,Penobscot,"9,672",1812
Topsham,Town,Sagadahoc,"9,560",1764
Cape Elizabeth,Town,Cumberland,"9,535",1765
Yarmouth,Town,Cumberland,"8,990",1849
Old Orchard Beach,Town,York,"8,960",1883
Presque Isle,City,Aroostook,"8,797",1859
Bath,City,Sagadahoc (seat),"8,766",1781
Freeport,Town,Cumberland,"8,737",1789
Skowhegan,Town,Somerset (seat),"8,620",1823
Cumberland,Town,Cumberland,"8,473",1821
Ellsworth,City,Hancock (seat),"8,399",1800
Buxton,Town,York,"8,376",1772
Gray,Town,Cumberland,"8,269",1788
Berwick,Town,York,"7,950",1713
Winslow,Town,Kennebec,"7,948",1771
Waterboro,Town,York,"7,936",1787
Hampden,Town,Penobscot,"7,709",1794
Farmington,Town,Franklin (seat),"7,592",1794
South Berwick,Town,York,"7,467",1814
Old Town,City,Penobscot,"7,431",1840
Caribou,City,Aroostook,"7,396",1859
Belfast,City,Waldo (seat),"6,938",1773
Rockland,City,Knox (seat),"6,936",1848
Eliot,Town,York,"6,717",1810
Fairfield,Town,Somerset,"6,484",1788
Lebanon,Town,York,"6,469",1767
Hermon,Town,Penobscot,"6,461",1814
